message,Jumlah
ifDescr:  -> ppp33,14
ifDescr:  -> ppp351,14
Fanspeed under threshold: 4425 rpm (< 5232 rpm),14
ifDescr:  -> ppp47,14
ifDescr:  -> ppp87,14
ifSpeed: 10 Gbps -> 25 Gbps,14
ifAlias:  -> ppp27,14
ifAlias:  -> ppp306,14
Fanspeed under threshold: 4455 rpm (< 5232 rpm),14
ifAlias:  -> ppp33,14
ifAlias:  -> ppp87,14
ifAlias:  -> ppp351,14
ifAlias:  -> ppp124,14
Sensor Updated: current zxa10 1.1.2 Current Card,14
Sensor Updated: current zxa10 1.1.2 Current Card GTGOG,14
ifAlias:  -> ppp288,13
ifDescr:  -> ppp300,13
Sensor Updated: temperature zxa10 1.1.1 Temp Card PRWG,13
ifDescr:  -> ppp288,13
ifAlias:  -> ppp341,13
ifDescr:  -> ppp258,13
ifAlias:  -> ppp39,13
Sensor Updated: temperature zxa10 1.1.0 Temp Card PRWG,13
Sensor Updated: temperature zxa10 1.1.11 Temp Card SCXM,13
ifAlias:  -> ppp209,13
Fanspeed under threshold: 4350 rpm (< 5232 rpm),13
Fanspeed under threshold: 4365 rpm (< 4860 rpm),13
ifDescr:  -> ppp0,13
ifAlias:  -> ppp0,13
ifAlias:  -> ppp258,13
ifDescr:  -> ppp165,13
ifDescr:  -> ppp39,13
ifAlias:  -> ppp165,13
ifDescr:  -> ppp17,13
Fanspeed under threshold: 4410 rpm (< 5232 rpm),13
ifDescr:  -> ppp341,13
ifAlias:  -> ppp300,13
ifDescr:  -> ppp209,13
ifAlias:  -> ppp17,13
Fanspeed under threshold: 4275 rpm (< 4860 rpm),12
ifDescr:  -> ppp274,12
Fanspeed under threshold: 5115 rpm (< 5232 rpm),12
Fanspeed under threshold: 4200 rpm (< 4860 rpm),12
ifDescr:  -> ppp236,12
Fanspeed under threshold: 4395 rpm (< 5232 rpm),12
Fanspeed under threshold: 2721 rpm (< 2754.4 rpm),12
STP designated root changed: 380e4daf0ab7 > 70db983252d7,12
ifAlias:  -> ppp180,12
STP designated root changed: 70db983252d7 > 380e4daf0ab7,12
ifDescr:  -> ppp85,12
Temperature above threshold: -20 °C (> -980 °C),12
ifVlan:  -> 1,12
ifAlias:  -> ppp274,12
ifAlias:  -> ppp236,12
ifDescr:  -> ppp180,12
ifAlias:  -> ppp85,12
Fanspeed under threshold: 4305 rpm (< 4860 rpm),11
Fanspeed under threshold: 2753 rpm (< 2754.4 rpm),11
ifDescr:  -> ppp315,11
Fanspeed under threshold: 4395 rpm (< 4860 rpm),11
Fanspeed under threshold: 2732 rpm (< 2754.4 rpm),11
Fanspeed under threshold: 4680 rpm (< 5232 rpm),11
ifAlias:  -> ppp290,11
ifAlias:  -> ppp14,11
Fanspeed under threshold: 4635 rpm (< 5232 rpm),11
ifAlias:  -> ppp315,11
ifDescr:  -> ppp14,11
ifDescr:  -> ppp290,11
ifAlias:  -> ppp130,10
ifPhysAddress:  -> dc2c6e932881,10
Fanspeed under threshold: 2748 rpm (< 2754.4 rpm),10
Fanspeed under threshold: 4665 rpm (< 4860 rpm),10
ifAlias:  -> ppp150,10
Fanspeed under threshold: 4755 rpm (< 4860 rpm),10
ifType: l2vlan -> NULL,10
Voltage under threshold: 0 V (< 20.825 V),10
Fanspeed under threshold: 5070 rpm (< 5232 rpm),10
Fanspeed under threshold: 4875 rpm (< 5232 rpm),10
Fanspeed under threshold: 4575 rpm (< 5232 rpm),10
ifAlias:  -> ppp122,10
ifAlias:  -> ppp225,10
Fanspeed under threshold: 4515 rpm (< 5232 rpm),10
dBm above threshold: 0 dBm (> -4.001 dBm),10
ifDescr:  -> ppp343,10
ifAlias:  -> ppp227,10
ifDescr:  -> ppp227,10
ifDescr:  -> ppp225,10
ifDescr:  -> ppp150,10
ifDescr:  -> ppp130,10
ifDescr:  -> ppp122,10
ifAlias:  -> ppp343,10
ifMtu: 0 -> 1450,10
ifAlias:  -> ppp186,9
Fanspeed under threshold: 4665 rpm (< 5232 rpm),9
ifAlias:  -> ppp318,9
ifAlias:  -> ppp187,9
ifDescr:  -> ppp6,9
ifDescr:  -> ppp144,9
ifAlias:  -> ppp222,9
Fanspeed under threshold: 4380 rpm (< 4860 rpm),9
Fanspeed under threshold: 2747 rpm (< 2754.4 rpm),9
Fanspeed under threshold: 4590 rpm (< 4860 rpm),9
ifDescr:  -> ppp34,9
ifAlias:  -> ppp86,9
Fanspeed under threshold: 2729 rpm (< 2754.4 rpm),9
Temperature above threshold: -14 °C (> -980 °C),9
Fanspeed under threshold: 4440 rpm (< 5232 rpm),9
Fanspeed under threshold: 4230 rpm (< 4860 rpm),9
ifDescr:  -> ppp86,9
ifAlias:  -> ppp6,9
Fanspeed under threshold: 2708 rpm (< 2754.4 rpm),9
ifAlias:  -> ppp145,9
ifAlias:  -> ppp144,9
ifDescr:  -> ppp318,9
ifAlias:  -> ppp34,9
ifDescr:  -> ppp145,9
Fanspeed under threshold: 2699 rpm (< 2754.4 rpm),9
ifDescr:  -> ppp260,9
Fanspeed under threshold: 2694 rpm (< 2754.4 rpm),9
ifAlias:  -> ppp223,9
Fanspeed under threshold: 2688 rpm (< 2754.4 rpm),9
ifAlias:  -> ppp167,9
ifDescr:  -> ppp186,9
Fanspeed under threshold: 4965 rpm (< 5232 rpm),9
ifDescr:  -> ppp223,9
ifDescr:  -> ppp222,9
Fanspeed under threshold: 2676 rpm (< 2754.4 rpm),9
Fanspeed under threshold: 2716 rpm (< 2754.4 rpm),9
ifDescr:  -> ppp167,9
Fanspeed under threshold: 4845 rpm (< 4860 rpm),9
Temperature above threshold: -18 °C (> -980 °C),9
Fanspeed under threshold: 5160 rpm (< 5232 rpm),9
ifAlias:  -> ppp260,9
ifDescr:  -> ppp187,9
Fanspeed under threshold: 2630 rpm (< 2754.4 rpm),9
Fanspeed under threshold: 5055 rpm (< 5232 rpm),8
ifAlias:  -> ppp116,8
ifDescr:  -> ppp51,8
ifDescr:  -> ppp204,8
Fanspeed under threshold: 4920 rpm (< 5232 rpm),8
ifAlias:  -> ppp352,8
ifAlias:  -> ppp89,8
ifSpeed: 4.29 Gbps -> 40 Gbps,8
ifSpeed: 40 Gbps -> 4.29 Gbps,8
ifAlias:  -> ppp255,8
Fanspeed under threshold: 4425 rpm (< 4860 rpm),8
Fanspeed under threshold: 2656 rpm (< 2754.4 rpm),8
ifDescr:  -> ppp262,8
ifAlias:  -> ppp243,8
ifAlias:  -> ppp262,8
ifDescr:  -> ppp116,8
Fanspeed under threshold: 4260 rpm (< 4860 rpm),8
Fanspeed above threshold: 6930 rpm (> 6750 rpm),8
ifDescr:  -> ppp352,8
ifDescr:  -> ppp42,8
Fanspeed under threshold: 2679 rpm (< 2754.4 rpm),8
Temperature above threshold: -19 °C (> -980 °C),8
Fanspeed under threshold: 4470 rpm (< 5232 rpm),8
ifAlias:  -> ppp51,8
ifDescr:  -> ppp255,8
ifDescr:  -> ppp243,8
Fanspeed under threshold: 2700 rpm (< 2754.4 rpm),8
Fanspeed under threshold: 2702 rpm (< 2754.4 rpm),8
ifAlias:  -> ppp42,8
ifDescr:  -> ppp89,8
Fanspeed under threshold: 2726 rpm (< 2754.4 rpm),8
Fanspeed under threshold: 2740 rpm (< 2754.4 rpm),8
Fanspeed under threshold: 2743 rpm (< 2754.4 rpm),8
Fanspeed under threshold: 4545 rpm (< 5232 rpm),8
Fanspeed under threshold: 2749 rpm (< 2754.4 rpm),8
ifPhysAddress: 48df3736ae7c -> NULL,8
ifPhysAddress:  -> d80ae6b18e8c,8
ifPhysAddress:  -> 48df3736ae7c,8
ifAlias:  -> ppp204,8
"BGP Session Flap: 117.103.68.1 (AS64555 ), last error: Reserved",7
Fanspeed under threshold: 2746 rpm (< 2754.4 rpm),7
ifAlias:  -> ppp291,7
ifAlias:  -> ppp129,7
Temperature above threshold: -33 °C (> -980 °C),7
Fanspeed under threshold: 4575 rpm (< 4860 rpm),7
Fanspeed under threshold: 4410 rpm (< 4860 rpm),7
Fanspeed under threshold: 4560 rpm (< 5232 rpm),7
ifAlias:  -> ppp247,7
Fanspeed under threshold: 4035 rpm (< 4860 rpm),7
Fanspeed under threshold: 4560 rpm (< 4860 rpm),7
Fanspeed under threshold: 4785 rpm (< 4860 rpm),7
ifDescr:  -> ppp354,7
Temperature under threshold: 0 °C (< 44 °C),7
Fanspeed under threshold: 4215 rpm (< 4860 rpm),7
Voltage under threshold: 0 V (< 3 V),7
Fanspeed under threshold: 4740 rpm (< 4860 rpm),7
Fanspeed under threshold: 4500 rpm (< 5232 rpm),7
ifAlias:  -> ppp246,7
ifAlias:  -> ppp354,7
ifDescr:  -> ppp246,7
Fanspeed under threshold: 2696 rpm (< 2754.4 rpm),7
ifAlias:  -> ppp339,7
ifDescr:  -> ppp247,7
Fanspeed under threshold: 4620 rpm (< 4860 rpm),7
Fanspeed under threshold: 2717 rpm (< 2754.4 rpm),7
ifDescr:  -> ppp129,7
Fanspeed under threshold: 2725 rpm (< 2754.4 rpm),7
ifAlias:  -> ppp139,7
Fanspeed under threshold: 2727 rpm (< 2754.4 rpm),7
Fanspeed under threshold: 2651 rpm (< 2754.4 rpm),7
Fanspeed under threshold: 2728 rpm (< 2754.4 rpm),7
Fanspeed under threshold: 2733 rpm (< 2754.4 rpm),7
ifDescr:  -> ppp339,7
ifDescr:  -> ppp139,7
Fanspeed under threshold: 2745 rpm (< 2754.4 rpm),7
ifDescr:  -> ppp291,7
Temperature above threshold: 65 °C (> 63 °C),6
Fanspeed under threshold: 4335 rpm (< 4860 rpm),6
ifAdminStatus: down -> up,6
ifSpeed: 25 Gbps -> 1 Gbps,6
ifDescr:  -> ppp370,6
ifDescr:  -> ppp360,6
ifAlias:  -> ppp386,6
Temperature under threshold: 0 °C (< 35 °C),6
ifAlias:  -> ppp44,6
Temperature under threshold: 24 °C (< 25 °C),6
Fanspeed under threshold: 4500 rpm (< 4860 rpm),6
ifSpeed: 1 Gbps -> 25 Gbps,6
ifAlias:  -> ppp370,6
ifAlias:  -> ppp174,6
Fanspeed under threshold: 4530 rpm (< 5232 rpm),6
ifSpeed: 0 bps -> 0 bps,6
STP root port changed: 4116 > 0,6
ifDescr:  -> ppp68,6
Fanspeed under threshold: 2646 rpm (< 2754.4 rpm),6
ifDescr:  -> ppp44,6
ifDescr:  -> ppp119,6
ifDescr:  -> ppp7,6
ifDescr:  -> ppp216,6
ifAlias:  -> ppp68,6
ifDescr:  -> ppp293,6
Fanspeed under threshold: 2665 rpm (< 2754.4 rpm),6
ifAlias:  -> ppp7,6
ifAlias:  -> ppp216,6
ifAlias:  -> ppp293,6
Fanspeed under threshold: 2678 rpm (< 2754.4 rpm),6
ifAlias:  -> ppp292,6
ifDescr:  -> ppp248,6
Fanspeed under threshold: 2684 rpm (< 2754.4 rpm),6
ifAlias:  -> ppp275,6
Fanspeed under threshold: 2629 rpm (< 2754.4 rpm),6
Fanspeed under threshold: 2703 rpm (< 2754.4 rpm),6
Temperature above threshold: -17 °C (> -980 °C),6
ifDescr:  -> ppp174,6
Fanspeed under threshold: 4650 rpm (< 5232 rpm),6
STP root port changed: 0 > 4116,6
Fanspeed under threshold: 2737 rpm (< 2754.4 rpm),6
Fanspeed under threshold: 2738 rpm (< 2754.4 rpm),6
Fanspeed under threshold: 2739 rpm (< 2754.4 rpm),6
Fanspeed under threshold: 2635 rpm (< 2754.4 rpm),6
Fanspeed under threshold: 4710 rpm (< 4860 rpm),6
Fanspeed under threshold: 2692 rpm (< 2754.4 rpm),6
Fanspeed under threshold: 2623 rpm (< 2754.4 rpm),6
Fanspeed under threshold: 2715 rpm (< 2754.4 rpm),6
ifAlias:  -> ppp248,6
Temperature above threshold: -12 °C (> -980 °C),6
ifAlias:  -> ppp119,6
Fanspeed under threshold: 4290 rpm (< 4860 rpm),6
ifAlias:  -> ppp360,6
ifDescr:  -> ppp275,6
Fanspeed under threshold: 2591 rpm (< 2754.4 rpm),6
Fanspeed under threshold: 2754 rpm (< 2754.4 rpm),6
ifDescr:  -> ppp292,6
Fanspeed under threshold: 4605 rpm (< 5232 rpm),6
ifDescr:  -> ppp386,6
Fanspeed under threshold: 2624 rpm (< 2754.4 rpm),6
ifAlias:  -> ppp115,5
Fanspeed under threshold: 2641 rpm (< 2754.4 rpm),5
Fanspeed under threshold: 2560 rpm (< 2754.4 rpm),5
Fanspeed under threshold: 2562 rpm (< 2754.4 rpm),5
Fanspeed under threshold: 2565 rpm (< 2754.4 rpm),5
Fanspeed under threshold: 2645 rpm (< 2754.4 rpm),5
ifDescr:  -> ppp242,5
Sensor Added: state diskSmartInfo diskSmartInfo.2 Disk 2,5
ifDescr:  -> ppp239,5
Sensor Added: current routeros mtxrGaugeCurrent.18 current,5
Sensor Added: temperature routeros mtxrGaugeTemperature.14 temperature,5
Fanspeed under threshold: 2570 rpm (< 2754.4 rpm),5
Fanspeed under threshold: 5100 rpm (< 5232 rpm),5
Fanspeed under threshold: 2653 rpm (< 2754.4 rpm),5
Sensor Added: temperature routeros mtxrGaugeTemperature.17 cpu-temperature,5
ifDescr:  -> ppp115,5
Sensor Added: state diskSmartInfo diskSmartInfo.1 Disk 1,5
Fanspeed under threshold: 2657 rpm (< 2754.4 rpm),5
ifDescr:  -> ppp226,5
Fanspeed under threshold: 2659 rpm (< 2754.4 rpm),5
Sensor Added: temperature routeros mtxrOpticalTemperature.1 sfp-sfpplus1-Nex1/3/2,5
Sensor Added: power routeros mtxrGaugePower.16 power-consumption,5
ifAlias:  -> ppp269,5
Fanspeed under threshold: 2663 rpm (< 2754.4 rpm),5
Sensor Added: state mtxrOpticalTxFault mtxrOpticalTxFault.1 sfp-sfpplus1-Nex1/3/2 Tx,5
Fanspeed above threshold: 6600 rpm (> 6480 rpm),5
ifDescr:  -> ppp224,5
Fanspeed above threshold: 6780 rpm (> 6750 rpm),5
Sensor Added: fanspeed routeros mtxrGuageFanspeed.7001 fan1-speed,5
ifDescr:  -> ppp10,5
Fanspeed under threshold: 2670 rpm (< 2754.4 rpm),5
Temperature above threshold: -22 °C (> -980 °C),5
Fanspeed under threshold: 2579 rpm (< 2754.4 rpm),5
Fanspeed under threshold: 2674 rpm (< 2754.4 rpm),5
ifAlias:  -> ppp10,5
ifAlias:  -> ppp30,5
Sensor Added: voltage routeros 0 Voltage 0,5
ifDescr:  -> ppp221,5
ifSpeed: 10 Gbps -> 20 Gbps,5
Sensor Added: voltage routeros mtxrGaugeVoltage.13 voltage,5
Sensor Added: voltage routeros mtxrOpticalSupplyVoltage.1 sfp-sfpplus1-Nex1/3/2,5
ifPhysAddress: 085531056908 -> 085531056905,5
ifAlias:  -> ppp192,5
Fanspeed under threshold: 4590 rpm (< 5232 rpm),5
Temperature above threshold: -16 °C (> -980 °C),5
ifAlias: test -> et-0/0/3,5
ifAlias:  -> ppp202,5
ifDescr:  -> ppp202,5
ifAlias: test -> et-0/0/2,5
ifAlias: Upstream -> et-0/0/0,5
Fanspeed under threshold: 5175 rpm (< 5232 rpm),5
ifAlias:  -> ppp221,5
Fanspeed under threshold: 4710 rpm (< 5232 rpm),5
ifDescr:  -> ppp192,5
Fanspeed under threshold: 2695 rpm (< 2754.4 rpm),5
Fanspeed under threshold: 4755 rpm (< 5232 rpm),5
ifAlias:  -> ppp314,5
Fanspeed under threshold: 2698 rpm (< 2754.4 rpm),5
ifAlias:  -> ppp239,5
Sensor Added: state mtxrOpticalRxLoss mtxrOpticalRxLoss.1 sfp-sfpplus1-Nex1/3/2 Rx,5
Sensor Added: dbm routeros mtxrOpticalTxPower.1 sfp-sfpplus1-Nex1/3/2 Tx,5
ifAlias:  -> ppp382,5
Fanspeed under threshold: 5205 rpm (< 5232 rpm),5
ifAlias: ODIX -> et-0/0/0.303,5
ifAlias:  -> ppp383,5
Fanspeed under threshold: 2706 rpm (< 2754.4 rpm),5
Fanspeed under threshold: 2707 rpm (< 2754.4 rpm),5
Fanspeed under threshold: 2600 rpm (< 2754.4 rpm),5
ifAlias: MVNET-IPTLITE -> et-0/0/0.3704,5
Sensor Added: dbm routeros mtxrOpticalRxPower.1 sfp-sfpplus1-Nex1/3/2 Rx,5
Fanspeed under threshold: 2601 rpm (< 2754.4 rpm),5
Fanspeed under threshold: 2712 rpm (< 2754.4 rpm),5
Fanspeed under threshold: 2666 rpm (< 2754.4 rpm),5
Fanspeed under threshold: 4785 rpm (< 5232 rpm),5
Fanspeed under threshold: 4800 rpm (< 4860 rpm),5
Fanspeed under threshold: 5220 rpm (< 5232 rpm),5
Fanspeed under threshold: 4815 rpm (< 4860 rpm),5
Fanspeed under threshold: 4830 rpm (< 5232 rpm),5
Sensor Added: temperature qnap diskTemperture.1 Disk 1 Seagate ST10000VN000-3AK101 (SATA),5
Fanspeed under threshold: 2720 rpm (< 2754.4 rpm),5
Fanspeed under threshold: 2618 rpm (< 2754.4 rpm),5
Fanspeed under threshold: 2722 rpm (< 2754.4 rpm),5
ifAlias: MVIXPLUS -> et-0/0/0.2706,5
ifAlias: KaptenJalantra -> et-0/0/1.2143,5
